Date,Open,High,Low,Close,Volume
02-03-2016,1907.07,1918.01,1872.23,1912.53,8937
02-04-2016,1911.67,1927.35,1900.52,1915.45,8655
02-05-2016,1913.07,1913.07,1872.65,1880.05,8663
02-08-2016,1873.25,1873.25,1828.46,1853.44,10129
02-09-2016,1848.46,1868.25,1834.94,1852.21,8473
02-10-2016,1857.1,1881.6,1850.32,1851.86,7651
02-11-2016,1847,1847,1810.1,1829.08,9593
02-12-2016,1833.4,1864.78,1833.4,1864.78,8037
02-16-2016,1871.44,1895.77,1871.44,1895.58,8409
02-17-2016,1898.8,1930.68,1898.8,1926.82,8187
02-18-2016,1927.57,1930,1915.09,1917.83,7299
02-19-2016,1916.74,1918.78,1902.17,1917.78,8627
02-22-2016,1924.44,1946.7,1924.44,1945.5,6635
02-23-2016,1942.38,1942.38,1919.44,1921.27,6268
02-24-2016,1917.56,1932.08,1891,1929.8,6623
02-25-2016,1931.87,1951.83,1925.41,1951.7,5900
02-26-2016,1954.95,1962.96,1945.78,1948.05,6700
02-29-2016,1947.13,1958.27,1931.81,1932.23,8495
03-01-2016,1937.09,1978.35,1937.09,1978.35,7427
03-02-2016,1976.6,1986.51,1968.8,1986.45,6808
03-03-2016,1985.6,1993.69,1977.37,1993.4,6678
03-04-2016,1994.01,2009.13,1986.77,1999.99,7826
03-07-2016,1996.11,2006.12,1989.38,2001.76,6545
03-08-2016,1996.88,1996.88,1977.43,1979.26,6998
03-09-2016,1981.44,1992.69,1979.84,1989.26,6081
03-10-2016,1990.97,2005.08,1969.25,1989.57,6654
03-11-2016,1994.71,2022.37,1994.71,2022.19,6417
03-14-2016,2019.27,2024.57,2012.05,2019.64,5468
03-15-2016,2015.27,2015.94,2005.23,2015.93,5295
03-16-2016,2014.24,2032.02,2010.04,2027.22,6177
03-17-2016,2026.9,2046.24,2022.16,2040.59,6618
03-18-2016,2041.16,2052.36,2041.16,2049.58,17432
03-21-2016,2047.88,2053.91,2043.14,2051.6,5356
03-22-2016,2048.64,2056.6,2040.57,2049.8,5555
03-23-2016,2048.55,2048.55,2034.86,2036.71,5421
03-24-2016,2032.48,2036.04,2022.49,2035.94,6001
03-28-2016,2037.89,2042.67,2031.96,2037.05,4606
03-29-2016,2035.75,2055.91,2028.31,2055.01,5719
03-30-2016,2058.27,2072.21,2058.27,2063.95,5114
03-31-2016,2063.77,2067.92,2057.46,2059.74,6365
04-01-2016,2056.62,2075.07,2043.98,2072.78,6550
04-04-2016,2073.19,2074.02,2062.57,2066.13,5327
04-05-2016,2062.5,2062.5,2042.56,2045.17,6662
04-06-2016,2045.56,2067.33,2043.09,2066.66,5812
04-07-2016,2063.01,2063.01,2033.8,2041.91,6183
04-08-2016,2045.54,2060.63,2041.69,2047.6,5349
04-11-2016,2050.23,2062.93,2041.88,2041.99,5866
04-12-2016,2043.72,2065.05,2039.74,2061.72,5909
04-13-2016,2065.92,2083.18,2065.92,2082.42,6309
04-14-2016,2082.89,2087.84,2078.13,2082.78,5631
04-15-2016,2083.1,2083.22,2076.31,2080.73,6936
04-18-2016,2078.83,2094.66,2073.65,2094.34,5472
04-19-2016,2096.05,2104.05,2091.68,2100.8,5903
04-20-2016,2101.52,2111.05,2096.32,2102.4,6047
04-21-2016,2102.09,2103.78,2088.52,2091.48,6512
04-22-2016,2091.49,2094.32,2081.2,2091.58,7060
04-25-2016,2089.37,2089.37,2077.52,2087.79,5448
04-26-2016,2089.84,2096.87,2085.8,2091.7,5986
04-27-2016,2092.33,2099.89,2082.31,2095.15,6728
04-28-2016,2090.93,2099.3,2071.62,2075.81,6892
04-29-2016,2071.82,2073.85,2052.28,2065.3,8873
05-02-2016,2067.17,2083.42,2066.11,2081.43,6041
05-03-2016,2077.18,2077.18,2054.89,2063.37,6356
05-04-2016,2060.3,2060.3,2045.55,2051.12,6268
05-05-2016,2052.95,2060.23,2045.77,2050.63,5963
05-06-2016,2047.77,2057.72,2039.45,2057.14,5884
05-09-2016,2057.55,2064.15,2054.31,2058.69,5574
05-10-2016,2062.63,2084.87,2062.63,2084.39,5204
05-11-2016,2083.29,2083.29,2064.46,2064.46,5801
05-12-2016,2067.17,2073.99,2053.13,2064.11,5886
05-13-2016,2062.5,2066.79,2043.13,2046.61,5675
05-16-2016,2046.53,2071.88,2046.53,2066.66,5673
05-17-2016,2065.04,2065.69,2040.82,2047.21,6867
05-18-2016,2044.38,2060.61,2034.49,2047.63,5582
05-19-2016,2044.21,2044.21,2025.91,2040.04,5899
05-20-2016,2041.88,2058.35,2041.88,2052.32,6978
05-23-2016,2052.23,2055.58,2047.26,2048.04,5248
05-24-2016,2052.65,2079.67,2052.65,2076.06,5576
05-25-2016,2078.93,2094.73,2078.93,2090.54,5617
05-26-2016,2091.44,2094.3,2087.08,2090.1,4741
05-27-2016,2090.06,2099.06,2090.06,2099.06,5085
05-31-2016,2100.13,2103.48,2088.66,2096.96,9045
06-01-2016,2093.94,2100.97,2085.1,2099.33,5569
06-02-2016,2097.71,2105.26,2088.59,2105.26,6281
06-03-2016,2104.07,2104.07,2085.36,2099.13,5680
06-06-2016,2100.83,2113.36,2100.83,2109.41,5329
06-07-2016,2110.18,2119.22,2110.18,2112.13,5361
06-08-2016,2112.71,2120.55,2112.71,2119.12,4969
06-09-2016,2115.65,2117.64,2107.73,2115.48,4826
06-10-2016,2109.57,2109.57,2089.96,2096.07,5522
06-13-2016,2091.75,2098.12,2078.46,2079.06,5640
06-14-2016,2076.65,2081.3,2064.1,2075.32,5768
06-15-2016,2077.6,2085.65,2069.8,2071.5,5759
06-16-2016,2066.36,2079.62,2050.37,2077.99,5520
06-17-2016,2078.2,2078.2,2062.84,2071.22,13014
06-20-2016,2075.58,2100.66,2075.58,2083.25,5982
06-21-2016,2085.19,2093.66,2083.02,2088.9,5371
06-22-2016,2089.75,2099.71,2084.36,2085.45,5194
06-23-2016,2092.8,2113.32,2092.8,2113.32,5253
06-24-2016,2103.81,2103.81,2032.57,2037.41,14039
06-27-2016,2031.45,2031.45,1991.68,2000.54,8827
06-28-2016,2006.67,2036.09,2006.67,2036.09,7190
06-29-2016,2042.69,2073.13,2042.69,2070.77,6919
06-30-2016,2073.17,2098.94,2070,2098.86,8926
07-01-2016,2099.34,2108.71,2097.9,2102.95,5517
07-05-2016,2095.05,2095.05,2080.86,2088.55,6507
07-06-2016,2084.43,2100.72,2074.02,2099.73,6496
07-07-2016,2100.42,2109.08,2089.39,2097.9,5464
07-08-2016,2106.97,2131.71,2106.97,2129.9,5972
07-11-2016,2131.72,2143.16,2131.72,2137.16,5144
07-12-2016,2139.5,2155.4,2139.5,2152.14,5993
07-13-2016,2153.81,2156.45,2146.21,2152.43,5145
07-14-2016,2157.88,2168.99,2157.88,2163.75,5303
07-15-2016,2165.13,2169.05,2155.79,2161.74,6431
07-18-2016,2162.04,2168.35,2159.63,2166.89,4784
07-19-2016,2163.79,2164.63,2159.01,2163.78,5166
07-20-2016,2166.1,2175.63,2164.89,2173.02,5002
07-21-2016,2172.91,2174.56,2159.75,2165.17,5593
07-22-2016,2166.47,2175.11,2163.24,2175.03,5259
07-25-2016,2173.71,2173.71,2161.95,2168.48,5114
07-26-2016,2168.97,2173.54,2160.18,2169.18,5376
07-27-2016,2169.81,2174.98,2159.07,2166.58,6616
07-28-2016,2166.05,2172.85,2159.74,2170.06,5645
07-29-2016,2168.83,2177.09,2163.49,2173.6,7871
08-01-2016,2173.15,2178.29,2166.21,2170.84,5438
08-02-2016,2169.94,2170.2,2147.58,2157.03,6194
08-03-2016,2156.81,2163.79,2152.56,2163.79,5423
08-04-2016,2163.51,2168.19,2159.07,2164.25,4924
08-05-2016,2168.79,2182.87,2168.79,2182.87,5698
08-08-2016,2183.76,2185.44,2177.85,2180.89,4870
08-09-2016,2182.24,2187.66,2178.61,2181.74,4280
08-10-2016,2182.81,2183.41,2172,2175.49,4396
08-11-2016,2177.97,2188.45,2177.97,2185.79,4645
08-12-2016,2183.74,2186.28,2179.42,2184.05,4322
08-15-2016,2186.08,2193.81,2186.08,2190.15,4413
08-16-2016,2186.24,2186.24,2178.14,2178.15,4844
08-17-2016,2177.84,2183.08,2168.5,2182.22,4999
08-18-2016,2181.9,2187.03,2180.46,2187.02,5105
08-19-2016,2184.24,2185,2175.13,2183.87,5802
08-22-2016,2181.58,2185.15,2175.96,2182.64,4630
08-23-2016,2187.81,2193.42,2186.8,2186.9,4667
08-24-2016,2185.09,2186.66,2171.25,2175.44,4723
08-25-2016,2173.29,2179,2169.74,2172.47,4594
08-26-2016,2175.1,2187.94,2160.39,2169.04,4944
08-29-2016,2170.19,2183.48,2170.19,2180.38,4344
08-30-2016,2179.45,2182.27,2170.41,2176.12,4702
08-31-2016,2173.56,2173.79,2161.35,2170.95,6592
09-01-2016,2171.33,2173.56,2157.09,2170.86,5073
09-02-2016,2177.49,2184.87,2173.59,2179.98,4920
09-06-2016,2181.61,2186.57,2175.1,2186.48,5692
09-07-2016,2185.17,2187.87,2179.07,2186.16,5117
09-08-2016,2182.76,2184.94,2177.49,2181.3,5301
09-09-2016,2169.08,2169.08,2127.81,2127.81,7332
09-12-2016,2120.86,2163.3,2119.12,2159.04,6787
09-13-2016,2150.47,2150.47,2120.27,2127.02,6719
09-14-2016,2127.86,2141.33,2119.9,2125.77,6131
09-15-2016,2125.36,2151.31,2122.36,2147.26,5820
